State,ERW*,Mathematics,Total,Taking SAT
Alabama,595,571,1166,6
Alaska,562,544,1106,43
Arizona,577,572,1149,29
Arkansas,592,576,1169,5
California,540,536,1076,60
Colorado,519,506,1025,100
Connecticut,535,519,1053,100
Delaware,505,492,998,100
District of Columbia,497,480,977,92
Florida,522,493,1014,97
Georgia,542,522,1064,70
Hawaii,550,549,1099,56
Idaho,508,493,1001,100
Illinois,513,506,1019,99
Indiana,546,539,1086,67
Iowa,634,631,1265,3
Kansas,633,631,1265,4
Kentucky,630,618,1248,4
Louisiana,615,595,1210,4
Maine,512,501,1013,99
Maryland,545,535,1080,76
Massachusetts,562,563,1125,80
Michigan,511,499,1011,100
Minnesota,643,655,1298,4
Mississippi,630,606,1236,3
Missouri,633,629,1262,4
Montana,606,592,1198,10
Nebraska,629,623,1252,3
Nevada,574,566,1140,23
New Hampshire,535,528,1063,96
New Jersey,547,547,1094,82
New Mexico,552,540,1093,16
New York,534,534,1068,79
North Carolina,554,543,1098,52
North Dakota,640,643,1283,2
Ohio,552,547,1099,18
Oklahoma,541,521,1062,8
Oregon,564,553,1117,48
Pennsylvania,547,539,1086,70
Rhode Island,513,505,1018,97
South Carolina,547,523,1070,55
South Dakota,622,618,1241,3
Tennessee,624,607,1231,6
Texas,520,512,1032,66
Utah,618,612,1230,4
Vermont,565,554,1120,64
Virginia,567,550,1117,68
Washington,543,538,1081,69
West Virginia,513,486,999,28
Wisconsin,641,653,1294,3
Wyoming,633,625,1257,3
